# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
act(icl>do,agt>thing,man>how)	Direct	v	3(5),1(4)	18792
act(icl>do,agt>thing,man>how)	Hypernymy	v	1(2)	39062
act(icl>do,agt>thing,man>how)	Hypernymy	v	1(2)	39063
act(icl>dramatic_composition>thing)	Direct	n	1(4)	2878
act(icl>event>thing)	Hypernymy	n	3(2),2(2),1(2)	1281
act(icl>event>thing)	Hypernymy	n	3(2),1(2),2(2)	1571
act(icl>event>thing)	Direct	n	1(4),2(4)	183
act(icl>event>thing)	Hypernymy	n	3(2),2(2),1(2)	1867
act(icl>event>thing)	Hypernymy	n	2(2),1(2)	1887
act(icl>event>thing)	Hypernymy	n	1(2)	35160
act(icl>event>thing)	Hypernymy	n	2(2)	35376
act(icl>event>thing)	Hypernymy	n	1(2),3(2),2(2)	35519
act(icl>event>thing)	Hypernymy	n	1(2)	35918
act(icl>event>thing)	Hypernymy	n	1(2)	35919
act(icl>event>thing)	Hypernymy	n	1(2)	35920
act(icl>event>thing)	Hypernymy	n	2(2),1(2),3(2)	35965
act(icl>event>thing)	Hypernymy	n	1(2)	36042
act(icl>event>thing)	Hypernymy	n	1(2)	36361
act(icl>event>thing)	Hypernymy	n	1(2),3(2),2(2)	36378
act(icl>event>thing)	Hypernymy	n	3(2),1(2),2(2)	36586
act(icl>event>thing)	Hypernymy	n	1(2)	36587
act(icl>event>thing)	Hypernymy	n	2(2),1(2)	36596
act(icl>event>thing)	Hypernymy	n	2(2),1(2),3(2)	38078
act(icl>event>thing)	Hypernymy	n	2(2),3(2),1(2)	901
act(icl>event>thing)	Hypernymy	n	2(2),1(2)	902
act(icl>event>thing)	Hypernymy	n	2(2),1(2),3(2)	9555
act(icl>event>thing)	Hypernymy	n	3(2),2(2),1(2)	9557
act(icl>legal_document>thing)	Direct	n	1(2)	10374
act(icl>legal_document>thing)	Hypernymy	n	1(2),2(2),3(2)	36098
act(icl>result>occur,equ>work,obj>thing)	Direct	v	2(4)	27684
actable(icl>adj,ant>unactable)	Direct	a	1(4)	28671
acting(icl>activity>thing)	Direct	n	1(5),2(4)	2671
acting(icl>activity>thing)	Hypernymy	n	3(2),2(2),1(2)	38457
actinotherapy(icl>therapy>thing,equ>radiotherapy)	Direct	n	2(4)	35356
action(icl>process,equ>influence,cob>thing,obj>thing)	Direct	n	2(4),1(4)	1617
action_plant(icl>mimosa>thing,equ>sensitive_plant)	Direct	n	1(4),3(4)	8828
activated(icl>adj,agt>thing,obj>thing,ins>thing)	Direct	a	1(2)	25523
activation(icl>activity>thing,equ>energizing)	Direct	n	1(2),1(2)	25524
