# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
public_servant(icl>employee>thing)	Hypernymy	n	3(2),1(2),2(2)	34202
public_service(icl>employment>thing)	Direct	n	2(2)	10003
public_service(icl>service>thing,equ>community_service)	Direct	n	2(2)	10002
public_transport(icl>conveyance>thing)	Direct	n	1(2)	38879
publication(icl>information,agt>thing,obj>information)	Direct	n	1(5)	10855
publish(icl>create_verbally>do,agt>thing)	Direct	v	1(2)	27695
publish(icl>publicize>do,agt>thing,obj>information)	Direct	v	1(4)	12596
publish(icl>put_into_print>do,agt>thing,obj>information,plc>information)	Direct	v	1(2)	12624
publishable(icl>adj,ant>unpublishable)	Direct	a	2(2)	12495
published(icl>adj,ant>unpublished)	Direct	a	3(2)	9497
publishing(icl>business>abstract_thing)	Direct	n	1(4)	6443
pucker(icl>fold>thing)	Direct	n	3(2)	8887
pudding_pipe_tree(icl>cassia>thing,equ>golden_shower_tree)	Direct	n	1(2)	8147
puddle(icl>excrete>occur,equ>make,obj>thing)	Direct	v	2(4),1(4)	9844
puddle(icl>jumble>do,equ>addle,agt>thing,obj>thing)	Direct	v	2(2)	15070
puddle(icl>topographic_point>thing,equ>pool)	Direct	n	1(2)	27537
pueraria_lobata(icl>vine>thing,equ>kudzu)	Direct	n	1(2)	15455
puerility(icl>immaturity>thing,equ>childhood)	Direct	n	1(4),2(4)	7081
puerility(icl>youngness>thing,equ>childishness)	Direct	n	2(2)	20531
puerpera(icl>mother>thing)	Direct	n	1(2)	5467
puerperium(icl>time_period>thing)	Direct	n	2(2),3(2),1(2)	35952
puff(icl>blow>occur,equ>pant,obj>thing)	Direct	v	3(5),3(5)	20442
puff(icl>inhalation>thing)	Direct	n	2(2)	2905
puffed_rice(icl>cold_cereal>thing)	Hypernymy	n	2(2),3(2),1(2)	14662
puffed_rice(icl>cold_cereal>thing)	Direct	n	3(2)	9835
puffing(icl>exhalation>thing)	Direct	n	1(2)	20444
pug-nosed(icl>adj)	Direct	a	3(2),3(2)	31479
pug_nose(icl>nose>thing)	Direct	n	1(2)	1509
pugilism(icl>contact_sport>thing,equ>boxing)	Direct	n	1(2)	6279
pugilist(icl>combatant>thing,equ>boxer)	Direct	n	2(2)	36581
pugnacious(icl>adj)	Direct	a	1(2)	5519
pull(icl>attract>be,ant>repel,obj>thing,aoj>uw,gol>thing)	Direct	v	1(6),2(7)	4693
pull(icl>inhalation>thing,equ>puff)	Direct	n	2(2)	2905
pull(icl>propulsion>thing)	Direct	n	1(2),1(2)	23478
pull(icl>remove>do,equ>extract,agt>thing,obj>thing)	Direct	v	1(5)	4737
pull(icl>tear>do,obj>concrete_thing)	Hypernymy	v	1(2)	39198
pull-in(icl>cafe>thing)	Direct	n	1(2),1(2)	5875
pull_back(icl>do,equ>retreat,agt>thing)	Direct	v	1(2)	11394
pull_in(icl>pull>do,equ>attract,agt>thing,obj>thing)	Direct	v	1(6),2(6)	4693
pull_off(icl>pull>do,equ>pluck,agt>thing,obj>thing)	Direct	v	1(2)	20231
pull_out(icl>do,equ>roust,plt>thing,plf>thing,agt>thing,obj>concrete_thing)	Direct	v	2(2)	4736
pull_out(icl>remove>do,equ>extract,agt>thing,obj>thing)	Direct	v	1(4)	4737
pull_through(icl>do,equ>save,agt>thing,obj>thing)	Direct	v	2(2)	12937
pull_through(icl>get_the_better_of>occur,equ>survive,obj>thing)	Direct	v	2(2)	11508
pull_up(icl>remove>do,equ>extract,agt>thing,obj>thing)	Direct	v	1(2)	11484
pulley(icl>machine>thing)	Direct	n	2(3)	5166
pullulate(icl>crowd>do,equ>pour,agt>thing)	Direct	v	2(2)	10863
pullulate(icl>grow>occur,equ>shoot,plt>thing,plf>thing,obj>plant)	Direct	v	2(2)	3741
pulp(icl>mass>thing)	Direct	n	3(2)	9993
pulp(icl>plant_tissue>thing)	Direct	n	1(5)	7185
pulpy(icl>adj)	Direct	a	1(2)	3800
pulsation(icl>periodic_event>thing,equ>pulse)	Direct	n	2(4)	5636
pulsation(icl>phenomenon>thing)	Hypernymy	n	2(2),1(2),3(2)	36594
pulse(icl>legume>thing)	Hypernymy	n	1(2),3(2),2(2)	1227
pulse(icl>legume>thing)	Hypernymy	n	1(2),3(2),2(2)	1966
pulse(icl>legume>thing)	Direct	n	1(2)	1967
pulse(icl>legume>thing)	Hypernymy	n	3(2),2(2),1(2)	23595
pulse(icl>legume>thing)	Hypernymy	n	1(2),2(2),3(2)	29720
pulse(icl>legume>thing)	Hypernymy	n	1(2)	34084
pulse(icl>legume>thing)	Hypernymy	n	1(2)	6327
pulse(icl>legume>thing)	Hypernymy	n	1(2),2(2),3(2)	7721
pulse(icl>periodic_event>thing)	Direct	n	1(2)	5636
pulverization(icl>crush>thing,equ>grind)	Direct	n	1(2),1(2)	26212
pulverization(icl>solid>thing,equ>powder)	Direct	n	1(4),1(4)	18405
pulverization(icl>solid>thing,equ>powder)	Hypernymy	n	1(2),1(2),3(2),3(2)	34211
pulverization(icl>solid>thing,equ>powder)	Direct	n	3(4),3(4),2(4),2(4),6(4),6(4)	6267
pulverize(icl>destroy>do,equ>demolish,agt>thing,obj>thing)	Direct	v	1(2),1(2)	25652
pulverize(icl>disintegrate>occur,equ>powderize,obj>thing)	Direct	v	1(2),1(2)	12736
pummelo(icl>citrus>thing,equ>pomelo)	Direct	n	1(2)	20094
pump(icl>internal_organ>thing,equ>heart)	Direct	n	4(4),1(4)	2886
pump(icl>mechanical_device>thing)	Direct	n	2(5)	28320
pump(icl>mechanical_device>thing)	Direct	n	5(3)	8869
pumpkin(icl>squash>thing)	Direct	n	2(2)	4549
punch(icl>tool>thing)	Direct	n	1(2)	16880
punctual(icl>adj,ant>unpunctual)	Direct	a	1(4)	21720
punctual(icl>adj,ant>unpunctual)	Direct	a	1(4)	39521
punctuation(icl>mark>thing)	Direct	n	2(2),(2)	275
puncture(icl>mishap>thing)	Direct	n	2(2)	14003
punctured(icl>adj,equ>pierced)	Direct	a	2(2)	21938
pundit(icl>scholar>thing,equ>initiate)	Hypernymy	n	1(2)	36223
pundit(icl>scholar>thing,equ>initiate)	Hypernymy	n	1(2)	36225
pundit(icl>scholar>thing,equ>initiate)	Hypernymy	n	1(2)	39252
pundit(icl>scholar>thing,equ>initiate)	Hypernymy	n	2(2),1(2),3(2)	39254
pundit(icl>scholar>thing,equ>initiate)	Hypernymy	n	3(2),2(2),1(2)	39255
pundit(icl>scholar>thing,equ>initiate)	Hypernymy	n	1(2),2(2)	39257
pungapung(icl>arum>thing)	Direct	n	2(2)	19568
puniness(icl>unimportance>thing,equ>pettiness)	Direct	n	5(4)	8445
punish(icl>do,rsn>uw,agt>person,obj>person,met>thing)	Direct	v	1(4),3(5)	32630
punishable(icl>adj)	Direct	a	2(2)	6079
punishable(icl>adj)	Direct	a	1(4)	6080
punished(icl>adj,ant>unpunished)	Direct	a	1(2)	9069
punishment(icl>social_control>thing)	Hypernymy	n	2(4)	3219
punishment(icl>social_control>thing)	Direct	n	1(4),3(6)	4226
punjab(iof>geographical_area>thing)	Hypernymy	n	2(2),1(2),3(2)	10803
punjab(iof>geographical_area>thing)	Hypernymy	n	1(2),2(2)	37957
punjabi(icl>indian>person)	Direct	n	3(2),3(2),2(2),2(2)	14676
punjabi(icl>sanskrit>abstract_thing,iof>language)	Direct	n	1(4),1(4)	15291
punkah(icl>fan>thing)	Hypernymy	n	1(2)	33348
punt(icl>irish_monetary_unit>thing,equ>irish_pound)	Direct	n	1(2)	19601
pupa(icl>insect>thing)	Direct	n	1(4)	14029
pupil(icl>aperture>thing)	Direct	n	14(4),1(4)	3230
pupil(icl>aperture>thing)	Hypernymy	n	2(2),3(2),1(2)	8535
pupil(icl>enrollee>thing,equ>student)	Hypernymy	n	2(2)	1652
pupil(icl>enrollee>thing,equ>student)	Direct	n	3(4)	1794
puppet(icl>doll>thing)	Direct	n	1(4)	675
puppet_play(icl>show>thing,equ>puppet_show)	Direct	n	1(2)	674
puppet_show(icl>show>thing)	Direct	n	1(2)	674
puppy(icl>pup>thing)	Direct	n	1(5)	6848
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20620
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20621
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20622
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20623
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),3(2),1(2)	20624
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20625
purana(iof>sanskrit_literature>thing)	Hypernymy	n	3(2),2(2),1(2)	20626
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20633
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20635
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20636
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20638
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20639
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20640
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20641
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20642
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	20643
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2)	20644
purana(iof>sanskrit_literature>thing)	Hypernymy	n	1(2),2(2)	26801
purana(iof>sanskrit_literature>thing)	Hypernymy	n	2(2),1(2),3(2)	4106
purana(iof>sanskrit_literature>thing)	Direct	n	1(2)	6873
puranic(icl>adj,com>purana)	Direct	a	3(2)	10983
purdah(icl>segregation>thing)	Direct	n	(4)	11719
pure(icl>adj,ant>impure)	Direct	a	2(2)	22008
pure_gold(icl>gold>thing,equ>24-karat_gold)	Direct	n	4(4),3(4),7(4),6(4)	1874
pureness(icl>condition>thing,equ>purity)	Direct	n	1(6),3(4)	20166
pureness(icl>condition>thing,equ>purity,ant>impurity)	Direct	n	3(6)	2465
purgative(icl>adj,equ>cathartic)	Direct	a	2(4),1(4)	10047
purge(icl>excrete>occur,equ>vomit,obj>thing)	Direct	v	1(2),1(2)	20627
purge(icl>excrete>occur,equ>vomit,obj>thing)	Direct	v	3(2),3(2)	3740
purging_cassia(icl>cassia>thing,equ>golden_shower_tree)	Direct	n	1(2)	8147
purification(icl>processing>thing,equ>refining)	Direct	n	4(2)	8179
purification(icl>purge>thing)	Direct	n	1(2)	28870
purity(icl>condition>thing)	Direct	n	1(6),3(4)	20166
purity(icl>condition>thing,ant>impurity)	Direct	n	3(6)	2465
purl(icl>thread>thing)	Direct	n	2(2)	1037
purple(icl>adj)	Direct	a	1(2)	124
purple(icl>adj)	Direct	a	3(4),2(5)	6567
purple(icl>chromatic_color>thing)	Direct	n	4(3)	20034
purple_amaranth(icl>amaranth>thing,equ>prince's-feather)	Direct	n	3(2)	34317
purple_ground_cherry(icl>ground_cherry>thing,equ>cape_gooseberry)	Direct	n	2(2)	9901
purpleness(icl>chromatic_color>thing,equ>purple)	Direct	n	3(2)	20034
purport(icl>intend>do,equ>aim,agt>thing,obj>thing)	Direct	v	1(2)	5213
purr(icl>sound>thing)	Direct	n	1(2)	26701
purr(icl>sound>thing)	Direct	n	5(4)	8705
purse(icl>bag>thing)	Direct	n	1(4)	9586
purse(icl>container>thing,equ>bag)	Direct	n	1(3)	1814
purser(icl>officer>thing)	Direct	n	2(3)	13962
pursue(icl>follow>do,cob>thing,agt>thing,obj>thing)	Direct	v	1(4)	7861
pursuit(icl>motion>thing)	Direct	n	1(4),1(4)	6850
pursuit(icl>pastime>thing,equ>avocation)	Direct	n	2(2)	28285
pus(icl>hindu_calendar_month>thing)	Direct	n	3(2),3(2)	782
pus(icl>liquid_body_substance>thing)	Direct	n	3(6),1(4)	6858
push(icl>action,equ>shove,plt>thing,plf>thing,agt>thing,obj>thing)	Hypernymy	n	3(2),3(2),1(2),1(2),2(2),2(2)	38386
push(icl>insist>do,agt>person,obj>uw)	Direct	v	1(2),1(2)	34611
push(icl>move(icl>cause)>do,ant>pull,plt>uw,plf>uw,obj>thing)	Direct	v	3(4),2(5)	5863
push(icl>pressure>action,agt>thing,obj>thing)	Direct	n	1(4)	6979
push(icl>switch>thing,equ>push_button)	Direct	n	1(4)	4395
push(icl>urge>do,obj>person,gol>uw)	Direct	v	2(2)	38010
push_aside(icl>reject>do,equ>dismiss,agt>thing,obj>thing)	Direct	v	2(4)	4333
pushan(iof>hindu_deity>thing)	Direct	n	2(2)	2653
pushcart(icl>wheeled_vehicle>thing,equ>handcart)	Direct	n	2(2)	4887
pushchair(icl>wheeled_vehicle>thing,equ>baby_buggy)	Direct	n	1(2),(2)	39473
pusher(icl>mover>thing)	Direct	n	1(2)	29947
pusher(icl>wheeled_vehicle>thing,equ>baby_buggy)	Direct	n	1(2),(2)	39473
pushover(icl>undertaking>thing,equ>cinch)	Direct	n	2(2)	13944
pushup(icl>arm_exercise>thing)	Direct	n	3(2)	6073
pussy_willow(icl>sallow>thing,equ>goat_willow)	Direct	n	1(2)	17064
put(icl>displace>do,plt>thing,agt>thing,obj>thing)	Direct	v	2(2)	10844
put(icl>displace>do,plt>thing,agt>thing,obj>thing)	Hypernymy	v	1(2)	36089
put(icl>displace>do,plt>thing,agt>thing,obj>thing)	Direct	v	2(4),1(5)	9192
put(icl>invest>do,plt>thing,agt>person,obj>thing)	Direct	v	2(2)	26697
put_down(icl>save>do,equ>record,agt>thing,obj>thing)	Direct	v	1(2)	25294
put_in(icl>keep>do,equ>store,agt>thing,obj>thing)	Direct	v	1(2)	6876
put_off(icl>avoid>do,equ>hedge,agt>thing,obj>thing)	Direct	v	2(2)	5711
put_off(icl>delay>be,equ>postpone,obj>thing,aoj>thing)	Direct	v	1(8),1(8),(6),(6)	5712
put_on(icl>cover>do,agt>thing,obj>thing)	Direct	v	2(2)	20669
put_on(icl>dress>do,equ>wear,agt>thing,obj>thing)	Hypernymy	v	1(6)	38122
put_out(icl>affect>do,equ>trouble,agt>thing,obj>person)	Direct	v	2(2)	12173
put_out(icl>publicize>do,equ>publish,agt>thing,obj>thing)	Direct	v	1(4)	12596
put_up(icl>construct>do,equ>raise,agt>thing,obj>thing)	Direct	v	1(4),2(6)	12197
put_up(icl>engage>do,agt>thing,obj>thing)	Direct	v	1(2)	27522
putrefaction(icl>immorality>thing,equ>corruption)	Direct	n	2(2)	11
putrefiable(icl>adj,equ>decayable)	Direct	a	1(2)	35677
putrescible(icl>adj,equ>decayable)	Direct	a	1(2)	35677
putty(icl>cement>thing)	Direct	n	(4)	26993
puzzle(icl>plaything>thing)	Hypernymy	n	3(2),1(2),2(2)	29944
puzzle(icl>problem>thing)	Direct	n	1(5)	8226
puzzle_out(icl>solve>be,obj>thing,aoj>person)	Direct	v	3(2)	27600
puzzler(icl>problem>thing,equ>puzzle)	Direct	n	3(2)	8226
pyjama(icl>trouser>thing)	Direct	n	2(2),2(2)	6813
pyongyang(iof>national_capital>thing)	Direct	n	1(2)	24153
pyramid(icl>polyhedron>thing)	Direct	n	1(2)	12982
pyre(icl>pile>thing)	Direct	n	1(2)	2133
pyridoxal(icl>b-complex_vitamin>thing,equ>vitamin_b6)	Direct	n	(4)	27178
pyridoxamine(icl>b-complex_vitamin>thing,equ>vitamin_b6)	Direct	n	2(2)	27178
pyridoxine(icl>b-complex_vitamin>thing,equ>vitamin_b6)	Direct	n	(4)	27178
pyrometer(icl>thermometer>thing)	Direct	n	1(2)	37039
python(icl>boa>thing)	Direct	n	1(5)	2478
qatar(iof>asian_country>thing)	Direct	n	2(2)	21085
qatar(iof>peninsula>thing)	Direct	n	3(2)	21086
qatari(icl>adj,com>qatar)	Direct	a	3(2)	21088
qatari(icl>arab>thing)	Direct	n	2(2)	21087
qatari_riyal(icl>qatari_monetary_unit>thing)	Direct	n	2(2)	21089
quack(icl>doctor>thing)	Direct	n	(2),2(2)	9302
quadrilateral(icl>adj)	Direct	a	1(4)	5301
quadrillion(icl>large_integer>thing)	Direct	n	3(2)	15844
quadrillionth(icl>adj)	Direct	a	3(2)	15843
quadruped(icl>tetrapod>thing)	Direct	n	2(4)	5307
quadruple(icl>adj)	Direct	a	1(3)	8778
quail(icl>phasianid>thing)	Direct	n	3(2)	2207
quail(icl>wildfowl>thing)	Direct	n	3(2)	29546
quake(icl>geological_phenomenon>thing,equ>earthquake)	Direct	n	5(4),2(4),3(4)	7433
quake(icl>tremble>occur,equ>quiver,obj>concrete_thing)	Direct	v	1(2)	13174
qualification(icl>fitness>thing)	Hypernymy	n	2(2),3(2),4(2),1(2)	1708
qualification(icl>fitness>thing)	Direct	n	15(4),1(6)	2734
qualified(icl>adj)	Direct	a	1(2)	84
qualified(icl>adj,equ>moderated)	Direct	a	1(2)	84
quality(icl>adj)	Direct	a	1(2)	3207
quality(icl>degree>abstract_thing,equ>grade,obj>thing)	Direct	n	2(2)	12799
quamoclit_pennata(icl>morning_glory>thing,equ>cypress_vine)	Direct	n	3(2)	33906
quandary(icl>perplexity>thing,equ>dilemma)	Direct	n	4(4),1(6)	2119
quantity(icl>abstraction>thing,equ>measure)	Direct	n	2(4),4(4),1(4)	11339
quantity(icl>abstraction>thing,equ>measure)	Direct	n	3(4)	1885
quantity(icl>abstraction>thing,equ>measure)	Hypernymy	n	2(2),1(2)	1943
quantity(icl>abstraction>thing,equ>measure)	Hypernymy	n	2(2),1(2)	35713
quantum(icl>measure>thing)	Direct	n	2(4),1(4)	39181
quantum(icl>quantity>thing)	Direct	n	2(2)	39182
quarantine(icl>isolation>thing)	Direct	n	1(4)	12965
quarrel(icl>argue>do,agt>volitional_thing,cag>thing)	Direct	v	6(3)	7892
quarrel(icl>dispute>thing)	Direct	n	1(4),3(4)	4195
quarrelsome(icl>adj)	Direct	a	3(2)	1337
quarrelsome(icl>adj)	Direct	a	8(4)	2298
quarry(icl>animal>thing,equ>prey)	Hypernymy	n	3(2),2(2),4(2),1(2)	35976
quarry(icl>victim>thing,equ>prey)	Direct	n	1(2)	13611
quarter(icl>avoirdupois_unit>thing)	Direct	n	1(2)	10357
quarter(icl>common_fraction>thing,equ>one-fourth)	Hypernymy	n	1(2),2(2)	2392
quarter(icl>common_fraction>thing,equ>one-fourth)	Direct	n	3(5),5(4)	6795
quarter(icl>rear>thing,equ>stern)	Direct	n	1(2)	17482
quarter(icl>rear>thing,equ>stern)	Direct	n	1(2)	17483
quarterfinal(icl>match>thing)	Direct	n	3(2)	26712
quarterly(icl>adj,com>quarter)	Direct	a	1(5)	9061
quartern(icl>common_fraction>thing,equ>one-fourth)	Hypernymy	n	1(2),2(2)	2392
quartern(icl>common_fraction>thing,equ>one-fourth)	Direct	n	3(4),5(4)	6795
quarters(icl>housing>thing,equ>living_quarters)	Direct	n	1(2)	26681
quartz(icl>natural_glass>thing,equ>quartz_glass)	Direct	n	3(2)	5412
quaternary(icl>adj,equ>fourth)	Direct	a	3(2)	8736
quaternion(icl>set>thing)	Direct	n	3(2),3(2),3(2),3(2)	13708
quatrain(icl>stanza>thing)	Direct	n	1(2)	5306
queasy(icl>adj,equ>anxious)	Direct	a	2(2)	1353
queasy(icl>adj,equ>anxious)	Direct	a	4(4)	2779
queen(icl>chessman>thing)	Direct	n	8(2)	13905
queen(icl>domestic_cat>animal,equ>tabby)	Direct	n	1(4)	29592
queen(icl>face_card>thing)	Direct	n	3(5)	14234
queen(icl>female_aristocrat>person,ant>king,com>rule)	Direct	n	1(5)	2829
queen(icl>personification>thing)	Direct	n	1(5)	36476
queen(icl>rival>thing,equ>king)	Direct	n	3(5)	27363
queen_consort(icl>queen>thing)	Direct	n	1(2)	1745
queensland(iof>australian_state>thing)	Direct	n	1(2)	35104
queer(icl>adj,equ>gay)	Direct	a	1(2)	34510
quench(icl>cool>do,agt>thing,obj>thing)	Direct	v	1(2)	14104
quench(icl>do,equ>snuff_out,agt>thing,obj>thing)	Direct	v	1(6)	7300
quench(icl>meet>do,agt>thing,obj>thing)	Direct	v	1(2)	14103
quench(icl>restrain>do,agt>thing,obj>thing)	Direct	v	2(2)	27849
quench(icl>suppress>do,equ>squelch,agt>thing,obj>thing)	Direct	v	1(4)	11575
quest(icl>communicate>do,equ>request,agt>thing,obj>thing)	Direct	v	3(2)	7578
question(icl>ask>do,cob>uw,agt>person,obj>person)	Direct	v	1(2)	17517
question(icl>request>action,agt>thing,obj>uw,rec>thing)	Hypernymy	n	1(2)	39334
question(icl>request>action,agt>thing,obj>uw,rec>thing)	Direct	n	2(4)	7553
question_mark(icl>punctuation>thing)	Direct	n	3(2)	274
question_sheet(icl>examination>thing,equ>test_paper)	Direct	n	3(2),2(2),1(2)	6698
questionable(icl>adj)	Direct	a	1(2)	2365
questioner(icl>speaker>thing,equ>inquirer)	Direct	n	2(3)	20604
questioning(icl>request>thing)	Direct	n	1(2)	17610
quetzal(icl>guatemalan_monetary_unit>thing)	Direct	n	3(2)	19846
queue(icl>line>thing)	Direct	n	1(4),4(4)	28393
quick(icl>adj,equ>agile)	Direct	a	2(2)	36490
quick(icl>adj,equ>immediate)	Direct	a	1(4)	23789
quick-witted(icl>adj)	Direct	a	2(2)	21916
quickly(icl>how,ant>slowly,com>quick)	Direct	adv	1(6)	1922
quickly(icl>how,equ>promptly,com>quick)	Direct	adv	3(2),3(2)	18939
quickness(icl>pace>thing,equ>celerity)	Direct	n	1(4)	1460
quicksand(icl>pit>thing)	Direct	n	3(3)	23593
quicksilver(icl>metallic_element>thing,equ>mercury)	Direct	n	1(5)	2972
quid(icl>british_monetary_unit>thing,equ>british_pound)	Direct	n	21(2)	21033
quiesce(icl>change_intensity>occur,equ>quieten,obj>thing)	Direct	v	2(2)	30631
quiet(icl>adj,equ>placid)	Direct	a	1(4),2(4),4(4)	26361
quieten(icl>change_intensity>occur,obj>thing)	Direct	v	2(2),2(2)	30631
quietly(icl>how,equ>softly,ant>loudly,com>soft)	Direct	adv	2(4)	10084
quilt(icl>bedclothes>thing)	Direct	n	2(3)	9904
quince(icl>edible_fruit>thing)	Direct	n	2(3)	14261
quinine(icl>antimalarial>thing)	Direct	n	1(6)	14269
quint(icl>set>thing)	Direct	n	3(2),3(2)	13710
quintal(icl>metric_weight_unit>thing)	Direct	n	1(2)	13538
quire(icl>definite_quantity>thing)	Direct	n	1(2)	14565
quit(icl>stop>do,agt>volitional_thing,obj>uw)	Direct	v	3(2)	13064
quito(iof>national_capital>thing)	Direct	n	2(2)	23995
quiver(icl>case>thing)	Direct	n	1(4),3(4)	3620
quiver(icl>motion>thing,equ>shaking)	Direct	n	3(3),3(3)	10279
quiver(icl>motion>thing,equ>vibration)	Hypernymy	n	2(2),2(2),3(2),3(2),1(2),1(2)	32600
quiver(icl>tremble>occur,obj>concrete_thing)	Direct	v	1(2)	13174
quoits(icl>outdoor_game>thing)	Direct	n	1(2)	28318
quota(icl>number>thing)	Direct	n	1(2)	10640
quotation(icl>note>thing,equ>citation)	Direct	n	1(4)	3117
quote(icl>punctuation>thing,equ>quotation_mark)	Direct	n	1(2)	381
rabat(iof>national_capital>thing)	Direct	n	2(2)	24188
rabbit(icl>game>thing)	Direct	n	(4)	29539
rabbit(icl>leporid>thing)	Direct	n	1(5),2(4)	4618
rabies(icl>zoonosis>thing)	Direct	n	7(2)	14300
race(icl>act>do,agt>thing,obj>uw)	Direct	v	1(2)	27717
race(icl>contest>thing)	Direct	n	1(2)	6254
race(icl>taxonomic_group>thing,equ>subspecies)	Direct	n	3(2),2(2)	27642
rachitis(icl>avitaminosis>thing,equ>rickets)	Direct	n	2(2)	27221
racial(icl>adj,com>race)	Direct	a	4(4),1(4)	1143
racism(icl>bias>thing)	Direct	n	2(2)	35889
racism(icl>bias>thing)	Direct	n	1(4)	37706
rack(icl>framework>thing)	Direct	n	1(2)	28303
rack(icl>instrument_of_torture>thing)	Direct	n	1(3)	26914
rack(icl>overcharge>do,equ>extort,src>thing,agt>thing,obj>thing)	Direct	v	1(2)	30146
racket(icl>enterprise>thing)	Direct	n	2(2),1(2)	27475
racket(icl>hit>do,agt>thing,obj>thing)	Direct	v	1(2)	27476
racket(icl>make_noise>occur,obj>thing)	Direct	v	1(2)	234
racketeer(icl>criminal>thing)	Direct	n	1(2)	5761
racking(icl>adj)	Direct	a	2(2)	2696
racy(icl>adj,equ>lively)	Direct	a	1(4),3(4)	12588
radar(icl>measuring_instrument>thing)	Direct	n	3(2)	4158
radiate(icl>look>occur,equ>glow,obj>thing)	Direct	v	2(2)	5149
radiate(icl>run>be,obj>thing,aoj>thing)	Direct	v	1(2)	38817
radiation(icl>emission>thing)	Direct	n	1(2)	28919
radiation(icl>energy>thing)	Direct	n	1(4)	10037
radiation(icl>energy>thing)	Direct	n	1(2)	35973
radiation(icl>therapy>thing,equ>radiotherapy)	Direct	n	2(4)	35356
radical(icl>adj)	Direct	a	1(2)	37324
radical(icl>form>thing,equ>root)	Direct	n	1(4)	6298
radio(icl>device>functional_thing)	Direct	n	1(4)	8507
radio-controlled_aircraft(icl>heavier-than-air_craft>thing,equ>drone)	Direct	n	1(2)	34729
radio_frequency(icl>frequency>thing)	Direct	n	1(2),2(2)	35361
radio_station(icl>station>thing)	Direct	n	1(2)	13989
radioactive(icl>adj,ant>nonradioactive)	Direct	a	1(2)	28918
radioactivity(icl>emission>thing,equ>radiation)	Direct	n	2(4),3(4)	28919
radiolocation(icl>measuring_instrument>thing,equ>radar)	Direct	n	2(2)	4158
radiotherapy(icl>therapy>thing)	Direct	n	2(4)	35356
radish(icl>crucifer>thing,equ>radish_plant)	Direct	n	1(5)	730
radish(icl>root_vegetable>thing)	Direct	n	1(3)	7727
radium(icl>metallic_element>thing)	Direct	n	1(4)	14276
radius(icl>straight_line>thing)	Direct	n	3(4),1(7)	6045
radon(icl>chemical_element>thing)	Direct	n	(4)	27244
raft(icl>float>thing)	Hypernymy	n	1(2)	35781
raft(icl>float>thing)	Direct	n	3(2)	7327
rag(icl>knock>do,equ>call_on_the_carpet,agt>thing,obj>thing)	Direct	v	2(6)	34196
rag(icl>knock>do,equ>call_on_the_carpet,agt>thing,obj>thing)	Direct	v	5(5)	5142
rag(icl>mock>do,equ>tease,agt>thing,obj>thing)	Direct	v	2(2),2(2)	11524
rag(icl>piece_of_cloth>thing)	Direct	n	2(2)	4933
rag_gourd(icl>vine>thing,equ>luffa)	Hypernymy	n	2(2),3(2),1(2)	30543
rage(icl>anger>thing,equ>fury)	Direct	n	1(2)	25511
rage(icl>fashion>thing,equ>fad)	Direct	n	2(2)	11234
ragee(icl>millet>thing,equ>finger_millet)	Direct	n	1(2)	12249
ragi(icl>millet>thing,equ>finger_millet)	Direct	n	1(2)	12249
raging(icl>adj,equ>hot)	Direct	a	1(2)	39229
rahu(iof>hindu_deity>thing)	Direct	n	2(2)	3223
raid(icl>attack>do,agt>thing,obj>thing)	Direct	v	1(2)	35736
raid(icl>penetration>thing,equ>foray)	Direct	n	3(2)	28745
raid(icl>penetration>thing,equ>foray)	Direct	n	1(2)	8426
rail(icl>supply>do,agt>thing,obj>thing)	Direct	v	1(2)	27809
railcar(icl>wheeled_vehicle>thing,equ>car)	Direct	n	3(2)	37724
railhead(icl>end>thing)	Direct	n	3(2)	28201
railhead(icl>storehouse>thing)	Direct	n	2(2)	28202
railroad(icl>line>thing,equ>railway)	Direct	n	1(2),2(2)	10936
railroad_terminal(icl>terminal>thing,equ>railway_station)	Direct	n	1(4),2(4)	1546
railroad_ticket(icl>ticket>thing)	Direct	n	1(2)	3336
railway(icl>line>thing)	Direct	n	1(2),2(2)	10936
